Model Year,Mfr Name,Division,Carline,Eng Displ,# Cyl,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.,Carline Class Desc
2015,General Motors,Cadillac,ATS,2,4,21,30,24,Gasoline (Regular Unleaded Recommended),2200,2200,Compact Cars
2015,General Motors,Cadillac,ATS,2,4,19,30,23,Gasoline (Regular Unleaded Recommended),2300,2300,Compact Cars
2015,General Motors,Cadillac,ATS,2.5,4,21,33,25,Gasoline (Regular Unleaded Recommended),2100,2100,Compact Cars
2015,General Motors,Cadillac,ATS,3.6,6,18,28,22,Gasoline (Regular Unleaded Recommended),2400,2400,Compact Cars
2015,General Motors,Cadillac,ATS AWD,2,4,20,28,23,Gasoline (Regular Unleaded Recommended),2300,2300,Compact Cars
2015,General Motors,Cadillac,ATS AWD,3.6,6,18,26,21,Gasoline (Regular Unleaded Recommended),2500,2500,Compact Cars
2015,General Motors,Chevrolet,CAMARO,3.6,6,19,30,22,Gasoline (Regular Unleaded Recommended),2400,2400,Compact Cars
2015,General Motors,Chevrolet,CAMARO,3.6,6,18,27,21,Gasoline (Regular Unleaded Recommended),2500,2500,Compact Cars
2015,General Motors,Chevrolet,CAMARO,3.6,6,17,28,20,Gasoline (Regular Unleaded Recommended),2600,2600,Compact Cars
2015,General Motors,Chevrolet,CAMARO,6.2,8,15,24,18,Gasoline (Regular Unleaded Recommended),2900,2900,Compact Cars
2015,General Motors,Chevrolet,CAMARO,6.2,8,12,18,14,Gasoline (Premium Unleaded Recommended),4050,4050,Compact Cars
2015,General Motors,Chevrolet,CAMARO,6.2,8,14,19,16,Gasoline (Premium Unleaded Required),3550,3550,Compact Cars
2015,General Motors,Chevrolet,CAMARO,6.2,8,16,24,19,Gasoline (Premium Unleaded Required),3000,3000,Compact Cars
2015,General Motors,Chevrolet,CAMARO,7,8,13,19,15,Gasoline (Premium Unleaded Required),3800,3800,Compact Cars
2015,General Motors,Chevrolet,SONIC,1.4,4,27,37,31,Gasoline (Regular Unleaded Recommended),1700,1700,Compact Cars
2015,General Motors,Chevrolet,SONIC,1.4,4,29,40,33,Gasoline (Regular Unleaded Recommended),1600,1600,Compact Cars
2015,General Motors,Chevrolet,SONIC,1.8,4,25,35,28,Gasoline (Regular Unleaded Recommended),1900,1900,Compact Cars
2015,General Motors,Chevrolet,SONIC,1.8,4,26,35,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,General Motors,Chevrolet,SONIC RS,1.4,4,25,33,28,Gasoline (Regular Unleaded Recommended),1900,1900,Compact Cars
2015,General Motors,Chevrolet,SONIC RS,1.4,4,27,34,29,Gasoline (Regular Unleaded Recommended),1800,1800,Compact Cars
2015,Ford Motor Company,Ford,Fiesta ST FWD,1.6,4,26,35,29,Gasoline (Regular Unleaded Recommended),1800,1800,Compact Cars
2015,Ford Motor Company,Ford,FOCUS FWD,1,3,29,40,33,Gasoline (Regular Unleaded Recommended),1600,1600,Compact Cars
2015,Ford Motor Company,Ford,FOCUS FWD,2,4,27,40,31,Gasoline (Regular Unleaded Recommended),1700,1700,Compact Cars
2015,Ford Motor Company,Ford,FOCUS FWD,2,4,26,38,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Ford Motor Company,Ford,FOCUS FWD,2,4,26,36,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Ford Motor Company,Ford,FOCUS FWD,2,4,23,32,26,Gasoline (Regular Unleaded Recommended),2000,2000,Compact Cars
2015,Ford Motor Company,Ford,Focus FWD FFV,2,4,27,40,31,Gasoline (Regular Unleaded Recommended),1700,1700,Compact Cars
2015,Ford Motor Company,Ford,Focus FWD FFV,2,4,26,38,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Ford Motor Company,Ford,Focus FWD FFV,2,4,26,36,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Ford Motor Company,Ford,Focus SFE FWD,1,3,30,42,35,Gasoline (Regular Unleaded Recommended),1500,1500,Compact Cars
2015,Honda,Honda,CIVIC,1.8,4,30,39,33,Gasoline (Regular Unleaded Recommended),1600,1600,Compact Cars
2015,Honda,Honda,CIVIC,1.8,4,29,38,33,Gasoline (Regular Unleaded Recommended),1600,1600,Compact Cars
2015,Honda,Honda,CIVIC,1.8,4,28,36,31,Gasoline (Regular Unleaded Recommended),1700,1700,Compact Cars
2015,Honda,Honda,CIVIC,2.4,4,22,31,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
2015,Honda,Honda,CIVIC HF,1.8,4,31,41,35,Gasoline (Regular Unleaded Recommended),1500,1500,Compact Cars
2015,Honda,Honda,CIVIC HYBRID,1.5,4,44,47,45,Gasoline (Regular Unleaded Recommended),1150,1150,Compact Cars
2015,Hyundai,HYUNDAI MOTOR COMPANY,Accent,1.6,4,26,37,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Hyundai,HYUNDAI MOTOR COMPANY,Accent,1.6,4,27,38,31,Gasoline (Regular Unleaded Recommended),1700,1700,Compact Cars
2015,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,27,36,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,24,31,27,Gasoline (Regular Unleaded Recommended),1950,1950,Compact Cars
2015,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,24,33,28,Gasoline (Regular Unleaded Recommended),1900,1900,Compact Cars
2015,Hyundai,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,26,35,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Nissan,INFINITI,Q50 HYBRID,3.5,6,29,36,31,Gasoline (Premium Unleaded Required),1850,1850,Compact Cars
2015,Nissan,INFINITI,Q50 HYBRID AWD,3.5,6,28,35,30,Gasoline (Premium Unleaded Required),1900,1900,Compact Cars
2015,Nissan,INFINITI,Q50S HYBRID,3.5,6,28,34,30,Gasoline (Premium Unleaded Required),1900,1900,Compact Cars
2015,Nissan,INFINITI,Q50S HYBRID AWD,3.5,6,27,31,28,Gasoline (Premium Unleaded Required),2050,2050,Compact Cars
2015,Kia,KIA MOTORS CORPORATION,Forte Koup,1.6,4,22,30,25,Gasoline (Regular Unleaded Recommended),2100,2100,Compact Cars
2015,Kia,KIA MOTORS CORPORATION,Forte Koup,1.6,4,22,29,25,Gasoline (Regular Unleaded Recommended),2100,2100,Compact Cars
2015,Kia,KIA MOTORS CORPORATION,Forte Koup,2,4,25,34,28,Gasoline (Regular Unleaded Recommended),1900,1900,Compact Cars
2015,Kia,KIA MOTORS CORPORATION,Forte Koup,2,4,24,33,27,Gasoline (Regular Unleaded Recommended),1950,1950,Compact Cars
2015,Kia,KIA MOTORS CORPORATION,Rio,1.6,4,27,37,31,Gasoline (Regular Unleaded Recommended),1700,1700,Compact Cars
2015,Kia,KIA MOTORS CORPORATION,Rio,1.6,4,27,37,31,Gasoline (Regular Unleaded Recommended),1700,1700,Compact Cars
2015,Kia,KIA MOTORS CORPORATION,Rio ECO,1.6,4,28,37,31,Gasoline (Regular Unleaded Recommended),1700,1700,Compact Cars
2015,Toyota,LEXUS,CT 200h,1.8,4,43,40,42,Gasoline (Regular Unleaded Recommended),1250,1250,Compact Cars
2015,Toyota,LEXUS,IS 250,2.5,6,21,30,24,Gasoline (Premium Unleaded Required),2400,2400,Compact Cars
2015,Toyota,LEXUS,IS 250 AWD,2.5,6,20,27,23,Gasoline (Premium Unleaded Required),2500,2500,Compact Cars
2015,Toyota,LEXUS,IS 350,3.5,6,19,28,22,Gasoline (Premium Unleaded Required),2600,2600,Compact Cars
2015,Toyota,LEXUS,IS 350 AWD,3.5,6,19,26,21,Gasoline (Premium Unleaded Required),2700,2700,Compact Cars
2015,MAZDA,MAZDA,MAZDA3 4-Door,2,4,30,41,34,Gasoline (Regular Unleaded Recommended),1550,1550,Compact Cars
2015,MAZDA,MAZDA,MAZDA3 4-Door,2,4,29,41,33,Gasoline (Regular Unleaded Recommended),1600,1600,Compact Cars
2015,MAZDA,MAZDA,MAZDA3 4-Door,2.5,4,29,40,33,Gasoline (Regular Unleaded Recommended),1600,1600,Compact Cars
2015,MAZDA,MAZDA,MAZDA3 4-Door,2.5,4,28,39,32,Gasoline (Regular Unleaded Recommended),1650,1650,Compact Cars
2015,MAZDA,MAZDA,MAZDA3 4-Door,2.5,4,25,37,29,Gasoline (Regular Unleaded Recommended),1800,1800,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,AMG C 63,4,8,18,25,20,Gasoline (Premium Unleaded Required),2850,2850,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,AMG C 63 S,4,8,18,25,20,Gasoline (Premium Unleaded Required),2850,2850,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,C 300,2,4,25,34,28,Gasoline (Premium Unleaded Required),2050,2050,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,C 300 4MATIC,2,4,24,31,27,Gasoline (Premium Unleaded Required),2100,2100,Compact Cars
